pl_hostname,pl_letter,pl_name,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_dens,st_teff,st_mass,st_rad,pl_kepflag,pl_k2flag,st_dist,st_optmag,pl_facility,ra,pl_cbflag,pl_eqt,pl_rade,pl_trandur,pl_ratdor,pl_disc,pl_locale,pl_telescope,pl_instrument,pl_mnum,pl_pelink,pl_edelink,st_lum,st_dens,st_age,st_spstr,st_umbj
Kepler-1502,b,Kepler-1502 b,1,41.7083629,,,,,6666.0,1.44,1.72,1,0,1540.0,14.155,Kepler,296.107919,0,,3.18,0.35004,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1502_b/,,,,1.7,,
Kepler-1185,b,Kepler-1185 b,1,104.3518976,,,,,5622.0,0.96,0.87,1,0,296.0,12.57,Kepler,287.241174,0,,1.33,0.14942,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1185_b/,,,,1.55,,
Kepler-1113,b,Kepler-1113 b,1,42.3004954,,,,,5931.0,1.12,1.17,1,0,1127.0,14.766,Kepler,289.406695,0,,2.81,0.18325,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1113_b/,,,,3.55,,
Kepler-120,b,Kepler-120 b,2,6.312501,0.055,,,,4096.0,,0.53,1,0,393.02,14.735,Kepler,287.891632,0,,2.15,0.1212,,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-120_b/,http://exoplanets.org/detail/Kepler-120_b,,,,M0 V,
Kepler-120,c,Kepler-120 c,2,12.794585,0.088,,,,4096.0,,0.53,1,0,393.02,14.735,Kepler,287.891632,0,,1.53,0.1437,,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-120_c/,http://exoplanets.org/detail/Kepler-120_c,,,,M0 V,
Kepler-818,b,Kepler-818 b,1,10.03538581,,,,,5638.0,0.94,0.92,1,0,967.0,15.062,Kepler,296.235105,0,,5.11,0.142437,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-818_b/,,,,3.98,,
Kepler-1531,b,Kepler-1531 b,1,1.13854338,,,,,6260.0,1.16,1.27,1,0,670.0,13.194,Kepler,285.146577,0,,1.11,0.087175,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1531_b/,,,,2.82,,
Kepler-908,b,Kepler-908 b,1,1.34059747,,,,,5973.0,1.11,1.12,1,0,250.0,11.524,Kepler,295.322517,0,,1.22,0.067021,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-908_b/,,,,3.02,,
Kepler-821,b,Kepler-821 b,1,1.92279873,,,,,5191.0,0.84,0.8,1,0,619.0,14.829,Kepler,285.617437,0,,1.31,0.079963,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-821_b/,,,,4.79,,
KELT-1,b,KELT-1 b,1,1.217514,0.02466,0.0099,27.23,24.7,6518.0,1.32,1.46,0,0,262.0,10.701,KELT,0.362142,0,,12.442,0.11519,,2012,Ground,Mamiya 645 80mm f/1.9,Apogee 4K CCD Sensor,0,http://exoplanet.eu/catalog/kelt-1_b/,,0.542,,,,
Kepler-1469,b,Kepler-1469 b,1,21.8635301,,,,,5507.0,0.92,0.89,1,0,1255.0,15.965,Kepler,293.821357,0,,2.8,0.14925,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1469_b/,,,,4.47,,
Kepler-1109,b,Kepler-1109 b,1,37.6467384,,,,,5893.0,1.05,1.06,1,0,797.0,14.288,Kepler,291.646244,0,,2.19,0.25488,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1109_b/,,,,3.8,,
Kepler-825,c,Kepler-825 c,2,8.1818246,,,,,5976.0,1.03,1.08,1,0,820.0,14.207,Kepler,294.769908,0,,1.84,0.102483,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-825_c/,,,,3.55,,
Kepler-825,b,Kepler-825 b,2,3.77360059,,,,,5976.0,1.03,1.08,1,0,820.0,14.207,Kepler,294.769908,0,,1.53,0.111892,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-825_b/,,,,3.55,,
Kepler-1128,b,Kepler-1128 b,1,61.6178167,,,,,5543.0,0.94,0.91,1,0,1163.0,15.722,Kepler,293.063338,0,,3.65,0.15633,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1128_b/,,,,4.57,,
Kepler-1608,b,Kepler-1608 b,1,16.4735686,,,,,4992.0,0.75,0.72,1,0,832.0,15.889,Kepler,295.563558,0,,1.73,0.17629,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1608_b/,,,,5.13,,
Kepler-1304,b,Kepler-1304 b,1,16.1288853,,,,,5259.0,0.85,0.81,1,0,682.0,15.022,Kepler,285.276428,0,,2.29,0.24742,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1304_b/,,,,4.68,,
HAT-P-15,b,HAT-P-15 b,1,10.8635,,0.19,1.94,,5568.0,1.0,1.07,0,0,193.56,12.16,HATNet,66.248026,0,,11.882,,19.25,2010,Ground,Canon 200mm f/1.8L,2K CCD Sensor,0,http://exoplanet.eu/catalog/hat-p-15_b/,http://exoplanets.org/detail/HAT-P-15_b,,1.14,,G5,
Kepler-25,b,Kepler-25 b,3,6.238297,,0.0029,0.0275,2.32,6270.0,1.19,1.31,1,0,244.96,10.734,Kepler,286.638393,0,,2.748,,,2011,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-25_b/,http://exoplanets.org/detail/Kepler-25_b,,0.75,11.0,,
Kepler-25,d,Kepler-25 d,3,122.4,,0.13,0.226,,6270.0,1.19,1.31,1,0,244.96,10.734,W. M. Keck Observatory,286.638393,0,,,,,2014,Ground,10 m Keck I Telescope,HIRES Spectrometer,0,http://exoplanet.eu/catalog/kepler-25_d/,,,0.75,11.0,,
Kepler-25,c,Kepler-25 c,3,12.7207,,0.0061,0.0479,0.588,6270.0,1.19,1.31,1,0,244.96,10.734,Kepler,286.638393,0,,5.217,,,2011,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-25_c/,http://exoplanets.org/detail/Kepler-25_c,,0.75,11.0,,
Kepler-1524,b,Kepler-1524 b,1,70.9674603,,,,,6179.0,1.17,1.25,1,0,506.0,12.72,Kepler,293.885398,0,,3.54,0.287467,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1524_b/,,,,2.88,,
Kepler-689,b,Kepler-689 b,1,22.36656079,,,,,5518.0,0.91,0.88,1,0,1044.0,15.583,Kepler,294.710624,0,,2.89,0.21462,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-689_b/,,,,4.57,,
Kepler-1155,b,Kepler-1155 b,1,33.469743,,,,,5842.0,1.03,1.03,1,0,987.0,14.74,Kepler,288.820587,0,,2.03,0.18804,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1155_b/,,,,3.72,,
Kepler-1181,b,Kepler-1181 b,1,4.89337519,,,,,6176.0,1.17,1.3,1,0,867.0,13.827,Kepler,289.747314,0,,1.57,0.13817,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1181_b/,,,,3.24,,
Kepler-1384,b,Kepler-1384 b,1,15.36262753,,,,,4919.0,0.78,0.74,1,0,618.0,15.384,Kepler,296.215166,0,,1.94,0.15238,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1384_b/,,,,4.57,,
Kepler-624,b,Kepler-624 b,1,14.58649607,,,,,6117.0,1.1,1.18,1,0,731.0,13.49,Kepler,295.193389,0,,2.31,0.168304,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-624_b/,,,,3.72,,
Kepler-822,b,Kepler-822 b,1,3.22296927,,,,,5928.0,1.06,1.08,1,0,956.0,14.609,Kepler,292.276118,0,,1.77,0.119063,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-822_b/,,,,3.55,,
Kepler-1623,b,Kepler-1623 b,1,4.36128348,,,,,5772.0,1.0,1.0,1,0,986.0,14.951,Kepler,294.082695,0,,1.31,0.08575,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1623_b/,,,,4.27,,
Kepler-578,b,Kepler-578 b,1,1.6168837,,,,,5334.0,0.87,0.83,1,0,568.0,14.411,Kepler,288.75495,0,,2.0,0.066021,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-578_b/,,,,4.68,,
Kepler-288,b,Kepler-288 b,3,6.097326,0.065,,,,5918.0,,1.09,1,0,1236.21,15.151,Kepler,288.916426,0,,1.67,0.1377,,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-288_b/,http://exoplanets.org/detail/Kepler-288_b,,,,,
Kepler-288,d,Kepler-288 d,3,56.633742,0.287,,,,5918.0,,1.09,1,0,1236.21,15.151,Kepler,288.916426,0,,2.67,0.2516,,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-288_d/,http://exoplanets.org/detail/Kepler-288_d,,,,,
Kepler-288,c,Kepler-288 c,3,19.305772,0.14,,,,5918.0,,1.09,1,0,1236.21,15.151,Kepler,288.916426,0,,2.85,0.1747,,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-288_c/,http://exoplanets.org/detail/Kepler-288_c,,,,,
Kepler-1581,b,Kepler-1581 b,1,6.28385491,,,,,6022.0,1.12,1.23,1,0,443.0,12.4,Kepler,287.371261,0,,0.8,0.17183,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1581_b/,,,,4.17,,
Kepler-76,b,Kepler-76 b,1,1.5449298,0.0274,,2.01,1.1,6409.0,1.2,1.32,1,0,842.87,13.308,Kepler,294.192118,0,2140,15.244,,4.464,2013,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-76_b/,,,,,F,
Kepler-1060,b,Kepler-1060 b,1,46.8779367,,,,,5797.0,0.99,0.99,1,0,861.0,14.632,Kepler,286.025189,0,,2.38,0.40146,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/Kepler-1060_b/,,,,4.27,,
Kepler-625,b,Kepler-625 b,2,7.75192492,,,,,5789.0,1.04,0.96,1,0,502.0,13.307,Kepler,292.150459,0,,1.99,0.145204,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-625_b/,,,,1.51,,
Kepler-625,c,Kepler-625 c,2,4.1653651,,,,,5789.0,1.04,0.96,1,0,502.0,13.307,Kepler,292.150459,0,,1.05,0.137063,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-625_c/,,,,1.51,,
Kepler-1609,b,Kepler-1609 b,1,114.34219,,,,,6132.0,1.18,1.27,1,0,1483.0,15.015,Kepler,290.146555,0,,2.22,0.54171,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1609_b/,,,,3.02,,
Kepler-121,c,Kepler-121 c,2,41.008011,0.216,,,,5311.0,,0.7,1,0,518.09,14.708,Kepler,286.162064,0,,2.27,0.1657,,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-121_c/,http://exoplanets.org/detail/Kepler-121_c,,,,,
Kepler-121,b,Kepler-121 b,2,3.177422,0.039,,,,5311.0,,0.7,1,0,518.09,14.708,Kepler,286.162064,0,,2.34,0.0615,,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-121_b/,http://exoplanets.org/detail/Kepler-121_b,,,,,
Kepler-350,b,Kepler-350 b,3,11.189562,0.104,,,,6186.0,,1.53,1,0,983.79,13.781,Kepler,285.419606,0,,1.85,0.2133,,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-350_b/,http://exoplanets.org/detail/Kepler-350_b,,,,,
Kepler-350,c,Kepler-350 c,3,17.849,,,0.019,,6186.0,,1.53,1,0,983.79,13.781,Kepler,285.419606,0,,3.1,,,2013,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-350_c/,,,,,,
Kepler-350,d,Kepler-350 d,3,26.136,,,0.047,,6186.0,,1.53,1,0,983.79,13.781,Kepler,285.419606,0,,2.8,,,2013,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-350_d/,,,,,,
Kepler-626,b,Kepler-626 b,1,14.48585199,,,,,5813.0,1.01,1.05,1,0,690.0,13.946,Kepler,288.698651,0,,2.29,0.113096,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-626_b/,,,,5.37,,
Kepler-824,b,Kepler-824 b,1,4.51436633,,,,,6035.0,1.15,1.22,1,0,1352.0,14.946,Kepler,290.477412,0,,1.87,0.12317,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-824_b/,,,,3.31,,
Kepler-1500,b,Kepler-1500 b,1,15.0330105,,,,,5845.0,1.0,1.0,1,0,904.0,14.606,Kepler,288.883334,0,,1.2,0.22567,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1500_b/,,,,4.07,,
Kepler-627,b,Kepler-627 b,1,40.6994443,,,,,6424.0,1.3,1.49,1,0,1143.0,13.949,Kepler,292.104279,0,,3.73,0.30033,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-627_b/,,,,2.24,,
Kepler-319,b,Kepler-319 b,3,4.362705,0.051,,,,5526.0,,0.9,1,0,510.83,13.828,Kepler,288.811943,0,,1.63,0.0914,,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-319_b/,http://exoplanets.org/detail/Kepler-319_b,,,,,
Kepler-319,d,Kepler-319 d,3,31.781925,0.191,,,,5526.0,,0.9,1,0,510.83,13.828,Kepler,288.811943,0,,2.29,0.161,,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-319_d/,http://exoplanets.org/detail/Kepler-319_d,,,,,
Kepler-319,c,Kepler-319 c,3,6.941357,0.069,,,,5526.0,,0.9,1,0,510.83,13.828,Kepler,288.811943,0,,2.63,0.0746,,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-319_c/,http://exoplanets.org/detail/Kepler-319_c,,,,,
Kepler-690,b,Kepler-690 b,1,7.74809437,,,,,5913.0,1.11,1.16,1,0,1653.0,15.67,Kepler,294.489906,0,,5.95,0.148462,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-690_b/,,,,3.55,,
Kepler-158,c,Kepler-158 c,2,28.551383,0.158,,,,4623.0,,0.62,1,0,318.06,14.427,Kepler,284.032244,0,,1.9,0.177,,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-158_c/,http://exoplanets.org/detail/Kepler-158_c,,,,,
Kepler-158,b,Kepler-158 b,2,16.709184,0.111,,,,4623.0,,0.62,1,0,318.06,14.427,Kepler,284.032244,0,,2.12,0.1152,,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-158_b/,http://exoplanets.org/detail/Kepler-158_b,,,,,
Kepler-887,c,Kepler-887 c,2,7.63846023,,,,,6194.0,1.19,1.29,1,0,831.0,13.47,Kepler,290.090807,0,,1.13,0.16546,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-887_c/,,,,3.09,,
Kepler-887,b,Kepler-887 b,2,20.42228798,,,,,6194.0,1.19,1.29,1,0,831.0,13.47,Kepler,290.090807,0,,1.84,0.258,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-887_b/,,,,3.09,,
Kepler-1042,b,Kepler-1042 b,1,10.13202575,,,,,4815.0,0.75,0.72,1,0,659.0,15.629,Kepler,288.668933,0,,2.19,0.130733,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/Kepler-1042_b/,,,,4.79,,
Kepler-168,b,Kepler-168 b,2,4.425391,0.056,,,,6282.0,,1.11,1,0,1396.0,14.606,Kepler,294.710165,0,,1.46,0.1464,,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-168_b/,http://exoplanets.org/detail/Kepler-168_b,,,,,
Kepler-168,c,Kepler-168 c,2,13.193242,0.116,,,,6282.0,,1.11,1,0,1396.0,14.606,Kepler,294.710165,0,,2.69,0.2057,,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-168_c/,http://exoplanets.org/detail/Kepler-168_c,,,,,
Kepler-628,b,Kepler-628 b,1,15.4580567,,,,,5721.0,1.0,1.28,1,0,579.0,13.398,Kepler,290.449257,0,,8.4,0.3665029,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-628_b/,,,,8.71,,
Kepler-1154,c,Kepler-1154 c,2,8.45808312,,,,,6327.0,1.26,1.43,1,0,1531.0,14.806,Kepler,297.477127,0,,2.36,0.12783,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1154_c/,,,,2.29,,
Kepler-1154,b,Kepler-1154 b,2,5.1856142,,,,,6327.0,1.26,1.43,1,0,1531.0,14.806,Kepler,297.477127,0,,2.34,0.16983,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1154_b/,,,,2.29,,
Kepler-1470,b,Kepler-1470 b,1,16.2950903,,,,,4961.0,0.8,0.76,1,0,569.0,15.061,Kepler,288.695007,0,,1.07,0.15183,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1470_b/,,,,4.57,,
Kepler-1625,b,Kepler-1625 b,1,287.378949,,,,,5677.0,0.96,0.94,1,0,1213.0,15.756,Kepler,295.429347,0,,6.06,0.78692,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1625_b/,,,,4.37,,
Kepler-236,c,Kepler-236 c,2,23.968127,0.132,,,,3750.0,,0.51,1,0,291.17,15.414,Kepler,283.866378,0,,2.0,0.1736,,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-236_c/,http://exoplanets.org/detail/Kepler-236_c,,,,M1 V,
Kepler-236,b,Kepler-236 b,2,8.295611,0.065,,,,3750.0,,0.51,1,0,291.17,15.414,Kepler,283.866378,0,,1.57,0.0553,,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-236_b/,http://exoplanets.org/detail/Kepler-236_b,,,,M1 V,
Kepler-1551,b,Kepler-1551 b,1,24.4973698,,,,,6136.0,1.14,1.22,1,0,1560.0,15.152,Kepler,295.785514,0,,2.66,0.21171,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1551_b/,,,,2.88,,
Kepler-1656,b,Kepler-1656 b,1,31.578659,0.197,0.836,0.15291,2.13,5731.0,1.03,1.1,1,0,186.88,11.64,Kepler,284.472168,0,651,5.02,,38.7,2018,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,,6.31,,
Kepler-621,b,Kepler-621 b,1,2.62811375,,,,,4521.0,0.72,0.68,1,0,389.0,14.915,Kepler,290.927286,0,,2.3,0.077283,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-621_b/,,,,3.63,,
